what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1697695914531
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001090] return code: 4, 'other error'",1697695917380
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001090, /cygdrive/e/SOC_TPs/Mon_TP_SOC/Montre/software/Montre2/Montre2.elf] return code: 4, 'other error'",1697695921165
error,log,,,"Downloading ELF Process failed",1697695921168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695921189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1697695984093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696050080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696080920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696578055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696583875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696585332
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1697696585338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1697696585338
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697696592254
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697696592272
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1697696592308
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1697696593726
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697696595030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1697696596640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1697696597997
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1697696599299
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697696602679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1697696605266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1697696606222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1697696608926
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697696610328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1697696611931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696617649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696637706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696670421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696779175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696780350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696818542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696819765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696907807
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697696914418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696946551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696957411
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1697696961774
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1697696961981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696962253
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001090] return code: 4, 'other error'",1697696964748
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001090, /cygdrive/e/SOC_TPs/Mon_TP_SOC/montre2/software/montreNIOS/montreNIOS.elf] return code: 4, 'other error'",1697696968479
error,log,,,"Downloading ELF Process failed",1697696968481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697696986306
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1697696988580
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1697696988606
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1697696989743
